,FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
5123,1002673,52314,,,,,,,,,,,10:00:00-06:00,12:00:00-06:00,,
5174,1012725,99504,,,,,,,,,,,09:30:00-09:00,14:30:00-09:00,,
5186,1012224,49440,,,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00
5249,1005489,47150,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
5250,1005527,43054,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
5252,1012235,48047,,,,,,,,,,,10:00:00-05:00,15:00:00-05:00,,
5273,1010860,17349,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
5284,1005991,23116,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,,,
5298,1012707,20003,,,,,15:30:00-05:00,19:00:00-05:00,,,,,,,,
5299,1012703,20008,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
5313,1003592,49337,,,,,,,,,02:00:00-05:00,18:00:00-05:00,,,,
5346,1008055,85621,,,,,,,,,15:00:00-07:00,18:00:00-07:00,,,,
5348,1011101,37135,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
5366,1006138,98045,,,,,,,15:30:00-08:00,19:30:00-08:00,,,,,,
5412,1000176,27614,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
5429,1003742,44145,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
5452,1002120,55057,,,,,,,,,11:30:00-06:00,13:00:00-06:00,,,,
5525,1004175,19083,,,,,,,,,,,12:00:00-05:00,14:00:00-05:00,,
5555,1012773,43906,,,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00
5627,1000235,13501,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
5638,1011106,37363,,,,,,,15:00:00-05:00,17:00:00-05:00,,,,,,
5699,1010959,10562,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
5702,1011716,73107,,,,,08:00:00-06:00,13:00:00-06:00,,,,,,,08:00:00-06:00,13:00:00-06:00
5715,1008927,30269,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
5722,1005133,66204,,,,,07:30:00-06:00,13:00:00-06:00,,,,,,,,
5724,1011684,38112,,,,,,,15:00:00-06:00,19:00:00-06:00,,,,,,
5728,1008048,47460,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
5738,1010886,45056,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
5751,1008946,97135,,,,,,,,,,,,,10:00:00-08:00,14:00:00-08:00
5764,1002262,60067,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
5770,1008939,34209,,,,,,,,,,,,,11:00:00-05:00,15:00:00-05:00
5790,1010323,72855,,,,,,,,,,,,,,
5799,1009895,11215,,,,,,,,,,,,,10:00:00-05:00,17:00:00-05:00
5818,1003399,39568,,,,,,,,,,,08:00:00-06:00,13:00:00-06:00,,
5912,1010568,23803,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
5929,1011820,85004,,,,,,,,,,,08:00:00-07:00,12:00:00-07:00,,
5930,1002870,19460,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
5986,1010118,48108,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,
6001,1012268,49080,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
6016,1002350,90094,,,,,16:00:00-08:00,20:00:00-08:00,,,,,09:00:00-08:00,14:00:00-08:00,,
6066,1003678,98362,,,,,10:00:00-08:00,14:00:00-08:00,,,,,,,,
6077,1003460,48469,,,,,,,,,15:00:00-05:00,19:00:00-05:00,12:00:00-05:00,16:00:00-05:00,,
6099,1012547,97201,,,,,,,,,,,09:00:00-08:00,14:00:00-08:00,,
6103,1004097,97227,,,,,,,,,,,09:00:00-08:00,14:00:00-08:00,,
6109,1001985,23704,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
6146,1000779,55371,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
6155,1004395,99350,,,,,,,,,,,09:00:00-08:00,12:00:00-08:00,,
6172,1003504,33950,,,,,,,,,,,08:00:00-05:00,13:00:00-05:00,,
6174,1010327,33950,,,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00
6176,1001442,46617,,,,,17:00:00-05:00,19:00:00-05:00,,,,,08:00:00-05:00,12:00:00-05:00,,
6264,1003611,70806,,,08:00:00-06:00,12:00:00-06:00,,,,,,,,,,
6267,1009710,70807,,,,,,,09:00:00-06:00,12:00:00-06:00,,,,,,
6295,1009020,47978,,,16:00:00-06:00,18:00:00-06:00,,,,,,,,,,
6323,1006450,94804,,,,,,,,,07:00:00-08:00,17:00:00-08:00,,,,
6378,1008120,70062,,,,,,,,,,,08:00:00-06:00,13:00:00-06:00,,
6385,1009907,85032,,,,,,,,,,,07:00:00-07:00,11:00:00-07:00,,
6396,1011004,61068,,,,,,,,,,,09:00:00-06:00,14:00:00-06:00,,
6423,1012700,30153,,,,,,,14:00:00-05:00,17:00:00-05:00,,,,,,
6432,1003081,27804,,,,,08:00:00-05:00,13:00:00-05:00,,,,,,,,
6438,1012756,34134,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00,,
6517,1003915,54848,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
6523,1010891,71270,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
6565,1005214,24153,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
6589,1005040,84101,,,16:00:00-07:00,20:00:00-07:00,,,,,,,,,,
6669,1006078,87501,,,,,,,,,,,08:00:00-07:00,13:00:00-07:00,,
6710,1009931,12477,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
6768,1012696,32459,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
6838,1010462,48317,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00,,
6842,1009082,29928,,,16:00:00-05:00,21:00:00-05:00,,,,,,,,,,
6869,1004337,55126,,,,,15:00:00-06:00,18:00:00-06:00,,,,,,,,
