FMID,start,end,zip
1005560,2016-01-01,2016-12-31,24343
1008538,2016-06-07,2016-10-11,48228
1011744,2015-01-01,2015-12-31,12866
1010109,2014-05-17,2014-10-18,54656
1009935,2014-05-17,2014-10-18,54656
1008940,2014-05-31,2014-10-25,57783
1009055,2014-06-01,2014-09-30,49503
1002532,2013-06-27,2013-09-19,12164
1004054,2014-05-18,2014-09-27,99503
1001355,2016-06-04,2016-10-08,97405
1012677,2016-06-04,2016-10-08,51301
1012368,2016-07-14,2016-10-27,45887
1008127,2015-05-09,2015-10-31,99201
1003605,2013-06-15,2013-10-26,54801
1000225,2016-05-04,2016-09-07,22408
1000226,2016-04-09,2016-12-17,22407
1002551,2013-05-02,2013-10-31,30542
1004012,2014-05-17,2014-08-30,66083
1010751,2015-06-04,2015-10-08,49456
1008463,2013-05-25,2013-10-12,72529
1007692,2014-07-19,2014-11-19,10977
1012316,2016-05-01,2016-11-01,72764
1011925,2016-06-04,2016-09-24,45502
1011770,2016-06-05,2016-10-02,48350
1010595,2014-01-01,2014-12-31,49016
1005135,2015-05-22,2015-09-25,50216
1003588,2013-06-05,2013-10-30,38606
1010031,2016-01-01,2016-12-31,37343
1011254,2015-05-01,2015-10-30,94574
1003987,2013-05-09,2013-10-17,40220
1007295,2013-01-01,2013-12-31,32080
1009016,2014-05-08,2014-10-16,55972
1012266,2016-06-07,2016-10-04,48655
1008709,2013-05-04,2013-10-26,63301
1004486,2014-05-03,2014-10-25,63077
1010929,2015-06-06,2015-10-03,54024
1003077,2013-01-03,2013-12-19,70775
1000093,2013-05-04,2013-05-23,10301
1008710,2013-05-04,2013-10-19,65559
1012752,2016-10-07,2017-04-28,34108
1001357,2014-05-31,2014-10-25,97203
1012351,2016-05-13,2016-09-09,56374
1008735,2013-11-09,2014-04-12,63116
1011896,2016-06-02,2016-10-27,48880
1011219,2015-07-11,2015-09-12,14609
1000076,2013-06-04,2013-11-26,10003
1007335,2016-05-06,2016-10-14,43072
